Analysis;Component;Eenheid;Text-ID 1;Datum 1;Text-ID 2;Datum 2;Project;Matrix;Product grade;Meting 1;Meting 2;Gemiddelde (x);Ratio;Absoluut verschil;Relatief verschil;SD;CV
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-004598;4/09/2023 10:19;24-004971;23/04/2024 10:30;V-23V057-09;BODEM;Bodem;59,12;58,37;58,745;0,98731;-0,75;1,2767;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-004619;4/09/2023 16:11;24-004973;23/04/2024 10:31;V-23V057-09;BODEM;Bodem;3,19;2,98;3,085;0,93417;-0,21;6,80713;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-004623;19/09/2023 8:47;24-004975;23/04/2024 10:31;V-23V057-09;BODEM;Bodem;18,6;17,71;18,155;0,95215;-0,89;4,90224;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-004631;4/09/2023 13:10;24-004977;23/04/2024 10:31;V-23V057-07;BODEM;BODEM;9,47;8,99;9,23;0,94931;-0,48;5,20044;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-004646;4/09/2023 13:10;24-004979;23/04/2024 10:31;V-23V057-07;BODEM;BODEM;21,96;22,19;22,075;1,01047;0,23;1,04191;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-004662;4/09/2023 13:11;24-004981;23/04/2024 10:31;V-23V057-07;BODEM;BODEM;50,02;49,41;49,715;0,9878;-0,61;1,227;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-006814;4/09/2023 16:46;24-004983;23/04/2024 10:31;V-23V057-11;BODEM;Bodem;5,68;5,83;5,755;1,02641;0,15;2,60643;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-006832;8/09/2023 8:21;24-004985;23/04/2024 10:31;V-23V057-11;BODEM;Bodem;34,82;34,08;34,45;0,97875;-0,74;2,14803;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-006833;8/09/2023 8:21;24-004987;23/04/2024 10:31;V-23V057-11;BODEM;Bodem;15,34;17,05;16,195;1,11147;1,71;10,55881;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-007513;12/10/2023 14:42;24-004989;23/04/2024 10:31;V-23V057-12;BODEM;Verontreinigde bodem;61,77;62,02;61,895;1,00405;0,25;0,40391;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-007546;12/10/2023 14:42;24-004991;23/04/2024 10:31;V-23V057-12;BODEM;Verontreinigde bodem;30;29,54;29,77;0,98467;-0,46;1,54518;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-007564;23/10/2023 15:50;24-004993;23/04/2024 10:31;V-23V057-12;BODEM;Verontreinigde bodem;1,53;1,61;1,57;1,05229;0,08;5,09554;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-010226;21/11/2023 17:06;24-004995;23/04/2024 10:31;V-23V057-16;BODEM;NA;3,64;3,65;3,645;1,00275;0,01;0,27435;;
C_N_ANAL_V;T.C.DS;G_P_KG_DS;23-010229;21/11/2023 16:57;24-004997;23/04/2024 10:31;V-23V057-16;BODEM;NA;17,48;17,79;17,635;1,01773;0,31;1,75788;;
